"year","response","null_model","n_deviation","SSD","mean_squared_deviation","root_mean_squared_deviation","mean_abs_deviation","SSD_rank","best_model_by_SSD"
"2022","richness_all","dominative",60,2.19128143163694,0.036521357193949,0.191105617902638,0.142719735407177,1,TRUE
"2022","richness_all","multiplicative",60,5.23718985643416,0.087286497607236,0.295442883832452,0.235173225294216,2,FALSE
"2022","shannon_all","additive",60,4.39975101168957,0.0733291835281595,0.270793617960541,0.214210634561438,3,FALSE
"2022","shannon_all","dominative",60,0.685893538417262,0.011431558973621,0.106918468814424,0.0898096529393584,1,TRUE
"2022","shannon_all","multiplicative",60,2.9399428549507,0.0489990475825116,0.221357284909514,0.178018952722745,2,FALSE
"2023","biomass","additive",60,42.2658648343523,0.704431080572538,0.83930392622252,0.487644439276455,3,FALSE
"2023","biomass","dominative",60,9.60852313084451,0.160142052180742,0.400177525831651,0.318426469455282,2,FALSE
"2023","biomass","multiplicative",60,8.72491786499586,0.145415297749931,0.381333578051987,0.311189030263229,1,TRUE
"2023","evenness_all","additive",60,4.1098038759196,0.0684967312653267,0.261718801894947,0.21342212512455,3,FALSE
"2023","evenness_all","dominative",60,1.34075496120156,0.022345916020026,0.149485504380947,0.123317192726086,1,TRUE
"2023","evenness_all","multiplicative",60,3.25239799943956,0.0542066333239926,0.232823180383725,0.190737816204577,2,FALSE
"2023","richness_all","additive",60,5.92301528256427,0.0987169213760712,0.314192490960671,0.263003816722918,1,TRUE
"2023","richness_all","dominative",60,7.38304584939292,0.123050764156549,0.350785923543903,0.298519812869343,3,FALSE
"2023","richness_all","multiplicative",60,6.14468223018729,0.102411370503121,0.320017765917959,0.269306222430081,2,FALSE
"2023","shannon_all","additive",60,3.29331706178433,0.0548886176964055,0.234283199774131,0.174557121409296,3,FALSE
"2023","shannon_all","dominative",60,2.76495072645029,0.0460825121075048,0.21466837705518,0.168296620404828,2,FALSE
"2023","shannon_all","multiplicative",60,2.69714308843036,0.0449523848071726,0.212019774566366,0.161944072244268,1,TRUE
"2024","biomass","additive",60,28.3581562634514,0.472635937724191,0.68748522727706,0.501911353985133,3,FALSE
"2024","biomass","dominative",60,3.55397778026243,0.0592329630043738,0.243378230341939,0.206734808266855,1,TRUE
"2024","biomass","multiplicative",60,6.83997379869595,0.113999563311599,0.337638213642353,0.256544266769621,2,FALSE
"2024","evenness_all","additive",60,84.5417343985228,1.40902890664205,1.1870252342061,0.893678898112467,3,FALSE
"2024","evenness_all","dominative",60,3.06326740043066,0.0510544566738443,0.225952332747074,0.180297510462767,1,TRUE
"2024","evenness_all","multiplicative",60,17.9332628826265,0.298887714710442,0.546706241696985,0.459664293437394,2,FALSE
"2024","richness_all","additive",60,6.17349094824259,0.102891515804043,0.320767074064723,0.265428672429509,1,TRUE
"2024","richness_all","dominative",60,9.25413213664035,0.154235535610672,0.392728322903598,0.34115036215809,3,FALSE
"2024","richness_all","multiplicative",60,7.14730392413469,0.119121732068912,0.345140162932267,0.291322607759726,2,FALSE
"2024","shannon_all","additive",60,186963.112408442,3116.05187347404,55.8216075858985,13.2132957838185,3,FALSE
"2024","shannon_all","dominative",60,5.71144295605058,0.0951907159341764,0.308529927128919,0.265644483040924,1,TRUE
"2024","shannon_all","multiplicative",60,10.766077256202,0.1794346209367,0.423597239056985,0.334878426641499,2,FALSE
"2025","biomass","additive",60,106.12765783655,1.76879429727583,1.32996026154011,0.849683373785552,3,FALSE
"2025","biomass","dominative",60,7.41322111355787,0.123553685225964,0.351502041567278,0.261272193710026,1,TRUE
"2025","biomass","multiplicative",60,31.5406021379553,0.525676702299254,0.725035655881319,0.537969414180515,2,FALSE
"2025","evenness_all","additive",59,4.67240785181499,0.0791933534205931,0.281413136545885,0.211696558045022,2,FALSE
"2025","evenness_all","dominative",59,4.17504699126454,0.0707635083265177,0.266014113021316,0.196393035023513,1,TRUE
"2025","evenness_all","multiplicative",59,4.73477084436705,0.0802503532943568,0.283284933052142,0.214668973243813,3,FALSE
"2025","richness_all","additive",60,8.83861887669072,0.147310314611512,0.383810258606401,0.305775322138716,1,TRUE
"2025","richness_all","dominative",60,10.5989632691384,0.176649387818973,0.420296785401664,0.36232546417773,2,FALSE
