"year","response","null_model","row_id","treatment","Lv","deviation","squared_deviation","P","actual_ES","null_ES","selected_factors","interaction_type"
"2021","richness_all","additive",151,"8",8,-0.115752907075105,0.0133987354963378,0.27,-0.214285714285714,1.61839285714286,"W+N+D+MP+A+I+AF+SF","additive"
"2021","richness_all","multiplicative",5,"10",10,-0.102309400674693,0.0104672134664149,0.33,-0.214285714285714,1.38128809535675,"W+N+D+HM+MP+S+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",10,"10",10,-0.116989075492628,0.0136864437846199,0.32,-0.214285714285714,1.64055776662653,"W+N+D+HM+MP+S+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",11,"2",2,0.180230311893607,0.032482965325267,0,4.78571428571429,1.88426709234036,"W+AF","Antagonistic"
"2021","richness_all","multiplicative",13,"2",2,0.0105207533133543,0.000110686250280455,0.4,-0.214285714285714,-0.360042786472519,"D+A","multiplicative"
"2021","richness_all","multiplicative",14,"8",8,-0.0474378176525253,0.00225034654363424,0.36,0.785714285714286,1.53271776535517,"W+N+HM+S+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",15,"4",4,0.0560561085035064,0.00314228730055688,0.26,-0.214285714285714,-0.957414334753784,"D+HM+S+A","multiplicative"
"2021","richness_all","multiplicative",16,"4",4,0.141355627472922,0.0199814134182636,0.07,1.78571428571429,-0.195867953096213,"HM+S+I+SF","multiplicative"
"2021","richness_all","multiplicative",18,"2",2,-0.0117766626372275,0.000138689782871071,0.38,-1.21428571428571,-1.05936464685523,"D+HM","multiplicative"
"2021","richness_all","multiplicative",20,"6",6,-0.197829783482338,0.0391366232326689,0.08,-2.21428571428571,0.745132814232782,"W+HM+MP+A+I+AF","multiplicative"
"2021","richness_all","multiplicative",24,"8",8,-0.0412919069126621,0.00170502157648396,0.38,0.785714285714286,1.43176975156035,"W+N+D+HM+MP+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",32,"6",6,-0.221337319434197,0.0489902089743156,0.04,-2.21428571428571,1.19675208102815,"D+S+A+I+AF+SF","Synergistic"
"2021","richness_all","multiplicative",33,"6",6,0.0348032622661944,0.00121126706436951,0.4,-0.214285714285714,-0.685143982223201,"N+D+HM+S+A+AF","multiplicative"
"2021","richness_all","multiplicative",34,"10",10,0.0689139251546979,0.00474912908022731,0.28,1.78571428571429,0.754178652650483,"W+N+D+HM+MP+S+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",35,"8",8,0.0678076695899763,0.0045978800552234,0.34,2.78571428571429,1.7061843142989,"W+N+D+HM+S+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",37,"4",4,0.0121072681262476,0.000146585941480852,0.45,0.785714285714286,0.606277750069271,"N+S+I+SF","multiplicative"
"2021","richness_all","multiplicative",38,"6",6,-0.0528285378649671,0.00279085441295026,0.36,0.785714285714286,1.62234007064691,"W+D+MP+S+I+SF","multiplicative"
"2021","richness_all","multiplicative",47,"4",4,-0.169450952809417,0.0287136254080192,0.04,-1.21428571428571,1.43801085263448,"W+N+I+SF","Synergistic"
"2021","richness_all","multiplicative",49,"10",10,-0.0802408166109745,0.00643858865039605,0.43,-0.214285714285714,1.00708989450611,"W+N+D+HM+MP+S+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",50,"2",2,0.143591163352877,0.0206184221930326,0.04,0.785714285714286,-1.09771007022273,"N+HM","Antagonistic"
"2021","richness_all","multiplicative",51,"8",8,-0.00105123011492662,1.10508475452862e-06,0.42,-0.214285714285714,-0.199553005209285,"W+N+D+HM+MP+A+I+SF","multiplicative"
"2021","richness_all","multiplicative",54,"2",2,0.0253792885932775,0.000644108289500865,0.35,-0.214285714285714,-0.560801432184928,"MP+A","multiplicative"
"2021","richness_all","multiplicative",57,"2",2,0.0503073537382493,0.00253082984014534,0.21,1.78571428571429,1.0193503666699,"W+N","multiplicative"
"2021","richness_all","multiplicative",58,"6",6,-0.184341705633406,0.0339818644358333,0.05,-1.21428571428571,1.7237610018275,"W+N+D+S+I+SF","multiplicative"
"2021","richness_all","multiplicative",59,"2",2,0.0274842634328036,0.000755384736443743,0.3,1.78571428571429,1.35772893296964,"W+S","multiplicative"
"2021","richness_all","multiplicative",61,"4",4,-0.13748687307172,0.0189026402670393,0.08,-2.21428571428571,-0.301453984134165,"N+MP+A+I","multiplicative"
"2021","richness_all","multiplicative",64,"10",10,-0.138762824757367,0.0192551215346437,0.32,-1.21428571428571,0.880278679474412,"W+N+D+HM+MP+S+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",65,"8",8,-0.0908702463971144,0.00825740168027228,0.33,-0.214285714285714,1.18505628779697,"N+D+MP+S+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",67,"10",10,0.0232531966436458,0.000540711154148061,0.42,1.78571428571429,1.4221179172703,"W+N+D+HM+MP+S+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",76,"4",4,0.042817850969667,0.00183336836166062,0.24,-1.21428571428571,-1.74806259784029,"D+HM+MP+A","multiplicative"
"2021","richness_all","multiplicative",78,"2",2,0.0963252071477,0.0092785455320473,0.04,0.785714285714286,-0.532214097027753,"HM+I","Antagonistic"
"2021","richness_all","multiplicative",81,"2",2,-0.0846543596039481,0.00716636059995456,0.02,-1.21428571428571,-0.0120003411067273,"S+A","Synergistic"
"2021","richness_all","multiplicative",82,"10",10,0.0338219691722687,0.00114392559868989,0.4,1.78571428571429,1.26226680356262,"W+N+D+HM+MP+S+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",84,"2",2,-0.0289972832950524,0.000840842438493527,0.29,-1.21428571428571,-0.826063646159175,"HM+SF","multiplicative"
"2021","richness_all","multiplicative",85,"8",8,-0.124105393808438,0.0154021487723474,0.28,-0.214285714285714,1.76937248047446,"W+N+D+HM+MP+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",90,"6",6,0.00327213272318203,1.07068525581186e-05,0.48,0.785714285714286,0.736792373855231,"W+N+D+HM+AF+SF","multiplicative"
"2021","richness_all","multiplicative",95,"4",4,-0.124633498611083,0.0155335089760389,0.1,-1.21428571428571,0.636636704350718,"W+N+HM+AF","multiplicative"
"2021","richness_all","multiplicative",97,"6",6,-0.130178977981449,0.0169465663082945,0.19,-1.21428571428571,0.731317658039702,"N+D+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",99,"6",6,-0.0807856153518896,0.00652631564778346,0.27,-0.214285714285714,1.01611127885906,"W+D+HM+MP+I+AF","multiplicative"
"2021","richness_all","multiplicative",101,"10",10,-0.0472187019064662,0.00222960580973171,0.44,0.785714285714286,1.52909635042759,"W+N+D+HM+MP+S+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",102,"4",4,-0.0382865290338055,0.00146585830545644,0.35,0.785714285714286,1.38287544945478,"W+S+A+SF","multiplicative"
"2021","richness_all","multiplicative",104,"6",6,0.0326411654822511,0.0010654456840397,0.39,-0.214285714285714,-0.656817284812542,"N+D+HM+MP+A+AF","multiplicative"
"2021","richness_all","multiplicative",106,"10",10,-0.137623850741474,0.0189403242929114,0.27,-1.21428571428571,0.860342696040149,"W+N+D+HM+MP+S+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",107,"10",10,-0.189095363746615,0.0357570565904646,0.12,-2.21428571428571,0.584001856794758,"W+N+D+HM+MP+S+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",112,"2",2,0.0139026359714308,0.000193283286954121,0.38,0.785714285714286,0.58003424093202,"S+I","multiplicative"
"2021","richness_all","multiplicative",114,"4",4,-0.00525133953201715,2.75765668805261e-05,0.46,-0.214285714285714,-0.140378850803582,"N+D+MP+S","multiplicative"
"2021","richness_all","multiplicative",115,"8",8,-0.0592518671149884,0.00351078375661224,0.34,0.785714285714286,1.73047088491071,"W+N+D+HM+S+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",116,"8",8,-0.090295064372304,0.00815319864999852,0.32,-0.214285714285714,1.17531969698976,"W+N+D+HM+MP+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",121,"6",6,-0.0584919369519728,0.00342130668839356,0.33,0.785714285714286,1.71760121129108,"W+N+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",124,"6",6,-0.203219300151685,0.0412980839541408,0.07,-1.21428571428571,2.10137052898781,"W+MP+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",126,"8",8,-0.025772489668572,0.00066422122371665,0.48,0.785714285714286,1.18252852153592,"N+D+MP+S+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",128,"2",2,-0.0943682336524358,0.00890536352268072,0.06,-1.21428571428571,0.140334433845053,"D+SF","multiplicative"
"2021","richness_all","multiplicative",129,"4",4,-0.0376065107691282,0.00141424965222855,0.39,-0.214285714285714,0.332778617153766,"W+HM+A+AF","multiplicative"
"2021","richness_all","multiplicative",130,"10",10,-0.201796628817487,0.0407218794021025,0.17,-2.21428571428571,0.819476899648597,"W+N+D+HM+MP+S+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",138,"6",6,-0.12804161198102,0.016394654398698,0.21,-1.21428571428571,0.694682624828447,"N+D+MP+A+AF+SF","multiplicative"
"2021","richness_all","multiplicative",140,"8",8,-0.151641516989626,0.022995149674915,0.27,-2.21428571428571,-0.0693219515396084,"W+N+D+HM+MP+S+A+SF","multiplicative"
"2021","richness_all","multiplicative",142,"8",8,-0.095538970558071,0.00912769489529597,0.28,-0.214285714285714,1.26454592607616,"W+N+D+HM+S+A+I+AF","multiplicative"
"2021","richness_all","multiplicative",143,"10",10,-0.0757985833791432,0.00574542524228492,0.4,-0.214285714285714,0.933927378903411,"W+N+D+HM+MP+S+A+I+AF+SF","multiplicative"
"2021","richness_all","multiplicative",147,"4",4,-0.061406758761822,0.0037707900216326,0.25,-1.21428571428571,-0.363770465688146,"HM+A+AF+SF","multiplicative"
"2021","richness_all","multiplicative",149,"4",4,-0.174880986784111,0.0305833595385845,0.02,-1.21428571428571,1.54101720781361,"W+MP+S+I","Synergistic"
"2021","richness_all","multiplicative",151,"8",8,-0.123896585309757,0.0153503638514178,0.24,-0.214285714285714,1.76556297167092,"W+N+D+MP+A+I+AF+SF","multiplicative"
"2021","richness_all","dominative",5,"10",10,-0.0524305639488505,0.0027489640359945,0.36,-0.214285714285714,0.560357142857143,"W+N+D+HM+MP+S+A+I+AF+SF","dominative"
"2021","richness_all","dominative",10,"10",10,-0.0570349522503668,0.00325298577820162,0.33,-0.214285714285714,0.6325,"W+N+D+HM+MP+S+A+I+AF+SF","dominative"
"2021","richness_all","dominative",11,"2",2,0.231681059430926,0.0536761132990365,0,4.78571428571429,1.21178571428571,"W+AF","Antagonistic"
"2021","richness_all","dominative",13,"2",2,0.0159125071269372,0.000253207883064828,0.26,-0.214285714285714,-0.433571428571428,"D+A","dominative"
"2021","richness_all","dominative",14,"8",8,0.00955471425996034,9.12925645894895e-05,0.35,0.785714285714286,0.643750000000001,"W+N+HM+S+A+I+AF+SF","dominative"
"2021","richness_all","dominative",15,"4",4,0.0347649341393237,0.00120860064571152,0.19,-0.214285714285714,-0.684642857142856,"D+HM+S+A","dominative"
"2021","richness_all","dominative",16,"4",4,0.161539558459404,0.0260950289472594,0.01,1.78571428571429,-0.439464285714285,"HM+S+I+SF","Antagonistic"
"2021","richness_all","dominative",18,"2",2,-0.0214527662777569,0.000460221180968063,0.27,-1.21428571428571,-0.929285714285713,"D+HM","dominative"
"2021","richness_all","dominative",20,"6",6,-0.175429770420997,0.0307756043499637,0,-2.21428571428571,0.338749999999999,"W+HM+MP+A+I+AF","Synergistic"
"2021","richness_all","dominative",24,"8",8,0.0121701409808411,0.000148112331493549,0.33,0.785714285714286,0.605357142857143,"W+N+D+HM+MP+I+AF+SF","dominative"
"2021","richness_all","dominative",32,"6",6,-0.194891394203697,0.0379826555346609,0,-2.21428571428571,0.690535714285714,"D+S+A+I+AF+SF","Synergistic"
"2021","richness_all","dominative",33,"6",6,-0.0185400783665702,0.000343734505838564,0.5,-0.214285714285714,0.050178571428571,"N+D+HM+S+A+AF","dominative"
"2021","richness_all","dominative",34,"10",10,0.0974877818743034,0.00950386761477176,0.17,1.78571428571429,0.364464285714286,"W+N+D+HM+MP+S+A+I+AF+SF","dominative"
"2021","richness_all","dominative",35,"8",8,0.146711635750422,0.0215243040645644,0,2.78571428571429,0.610714285714286,"W+N+D+HM+S+I+AF+SF","Antagonistic"
"2021","richness_all","dominative",37,"4",4,0.038357417456766,0.00147129147395262,0.35,0.785714285714286,0.231607142857143,"N+S+I+SF","dominative"
"2021","richness_all","dominative",38,"6",6,-0.0126475151629131,0.000159959639796118,0.23,0.785714285714286,0.977857142857143,"W+D+MP+S+I+SF","dominative"
"2021","richness_all","dominative",47,"4",4,-0.137951450562463,0.0190306027122877,0.04,-1.21428571428571,0.866071428571429,"W+N+I+SF","Synergistic"
"2021","richness_all","dominative",49,"10",10,-0.0262683971930695,0.000690028691092862,0.49,-0.214285714285714,0.163392857142856,"W+N+D+HM+MP+S+A+I+AF+SF","dominative"
"2021","richness_all","dominative",50,"2",2,0.130460528086561,0.0170199493886244,0.05,0.785714285714286,-0.945357142857143,"N+HM","dominative"
"2021","richness_all","dominative",51,"8",8,-0.0381194253254321,0.0014530905871412,0.41,-0.214285714285714,0.340535714285714,"W+N+D+HM+MP+A+I+SF","dominative"
"2021","richness_all","dominative",54,"2",2,0.0119262739428985,0.00014223601016106,0.25,-0.214285714285714,-0.379285714285714,"MP+A","dominative"
"2021","richness_all","dominative",57,"2",2,0.0730924464352013,0.00534250572588278,0.08,1.78571428571429,0.695892857142857,"W+N","dominative"
"2021","richness_all","dominative",58,"6",6,-0.133044348116039,0.0177007985656217,0.07,-1.21428571428571,0.780714285714286,"W+N+D+S+I+SF","dominative"
"2021","richness_all","dominative",59,"2",2,0.0467412002476664,0.00218473980059245,0.1,1.78571428571429,1.07125,"W+S","dominative"
"2021","richness_all","dominative",61,"4",4,-0.153961399488852,0.0237041125325658,0.01,-2.21428571428571,-0.0305357142857137,"N+MP+A+I","Synergistic"
"2021","richness_all","dominative",64,"10",10,-0.123081741309114,0.0151491150436836,0.19,-1.21428571428571,0.610357142857143,"W+N+D+HM+MP+S+A+I+AF+SF","dominative"
"2021","richness_all","dominative",65,"8",8,-0.0475959085497704,0.00226537051067811,0.35,-0.214285714285714,0.485357142857143,"N+D+MP+S+A+I+AF+SF","dominative"
"2021","richness_all","dominative",67,"10",10,0.0935497650576677,0.00875155854234482,0.12,1.78571428571429,0.416964285714286,"W+N+D+HM+MP+S+A+I+AF+SF","dominative"
"2021","richness_all","dominative",76,"4",4,-0.0201884253028263,0.000407572516207799,0.33,-1.21428571428571,-0.946428571428571,"D+HM+MP+A","dominative"
"2021","richness_all","dominative",78,"2",2,0.0971930145378075,0.00944648207494647,0.19,0.785714285714286,-0.543035714285715,"HM+I","dominative"
"2021","richness_all","dominative",81,"2",2,-0.0864714961538943,0.00747731964709296,0,-1.21428571428571,0.0162499999999994,"S+A","Synergistic"
"2021","richness_all","dominative",82,"10",10,0.0820602620614698,0.00673388660959711,0.14,1.78571428571429,0.572321428571428,"W+N+D+HM+MP+S+A+I+AF+SF","dominative"
"2021","richness_all","dominative",84,"2",2,-0.032789498857416,0.00107515123532049,0.2,-1.21428571428571,-0.77357142857143,"HM+SF","dominative"
"2021","richness_all","dominative",85,"8",8,-0.0445898682655162,0.00198825635193609,0.38,-0.214285714285714,0.439107142857143,"W+N+D+HM+MP+I+AF+SF","dominative"
